Area,Location,Bedrooms,Price
820,10,2,2576000
820,10,2,9100000
1155,11,3,14500000
829,11,2,35000000
980,11,2,13200000
1105,11,2,17000000
700,11,1,8600000
950,11,2,15300000
1250,11,2,16000000
1840,11,3,26000000
400,11,1,9000000
600,11,1,11299999
907,11,2,15500000
600,11,1,11000000
1189,11,3,22500000
1080,11,2,21500000
1500,11,3,23000000
1423,11,3,31500000
600,11,1,10000000
600,11,1,11000000
1560,11,3,21400000
1020,11,2,14500000
585,11,1,10500000
1050,11,2,26500000
585,11,1,10500000
1050,11,2,26500000
552,11,1,15500000
845,11,2,13799999
900,11,2,15000000
918,11,2,14200000
1450,11,2,13000000
858,11,2,31300000
1043,11,3,8920000
700,11,2,12500000
2800,11,4,7500000
950,11,2,8200000
600,11,1,7400000
600,11,1,9000000
850,11,2,4300000
560,11,1,8500000
800,11,2,9000000
1656,11,3,3258000
1013,11,2,20000000
600,11,1,7500000
1700,11,3,3800000
880,11,2,8800000
372,11,1,4170000
2500,11,4,25000000
890,11,3,13000000
595,11,1,9000000
1785,11,3,33500000
2030,11,3,38600000
1300,11,2,22000000
900,11,2,16299999
670,11,1,11000000
816,11,2,13000000
540,11,1,12000000
495,11,1,15000000
2700,11,5,8900000
1627,11,3,8900000
867,11,2,5550000
539,11,1,100000000
800,11,2,15500000
600,11,1,16000000
500,11,1,14000000
1650,11,3,7837000
1250,11,3,9000000
3000,11,4,21500000
1200,11,3,18500000
1050,11,2,19900000
550,11,1,8600000
550,11,1,16800000
650,11,1,13500000
600,11,1,38100000
600,11,1,13300000
899,11,2,10500000
650,11,1,7300000
1000,11,2,16500000
650,11,1,25000000
580,11,1,8900000
600,11,1,78700000
1670,11,3,17000000
712,11,2,47000000
750,11,2,6500000
360,11,1,3000000
742,11,2,20000000
756,11,2,28500000
1100,11,3,28500000
630,11,2,27500000
1500,11,3,9500000
650,11,1,14500000
756,11,2,28500000
630,11,2,27500000
1500,11,3,23500000
1100,11,3,8500000
650,11,1,12000000
710,11,2,16000000
650,11,1,14500000
1700,11,3,9000000
650,11,1,6500000
400,11,1,5325000
325,11,1,9500000
635,11,1,15000000
900,11,2,18500000
2400,11,3,7100000
697,11,2,8800000
935,11,2,14500000
580,11,2,27500000
2400,11,3,7100000
1250,11,3,40000000
1700,11,4,8400000
515,11,1,9000000
1250,11,3,40000000
1700,11,4,8400000
515,11,1,9000000
680,11,2,14500000
675,11,2,9800000
646,11,2,27500000
1056,11,3,22000000
300,11,1,2500000
580,11,1,10800000
760,11,2,2300000
650,11,1,9000000
650,11,1,8200000
610,11,1,8700000
900,11,2,31500000
1600,11,3,8800000
650,11,1,21500000
1350,11,3,8400000
650,11,1,12000000
1600,11,3,11000000
950,11,3,15000000
570,11,1,25000000
1160,11,3,8200000
420,11,1,18000000
650,11,1,22500000
750,11,2,25600000
