Area,Location,No. of Bedrooms,Price
1478,Andheri,3,12700000
1632,Andheri,3,8500000
1250,Andheri,2,3779999
1250,Andheri,2,3735000
1200,Andheri,2,4072000
1250,Andheri,2,17700000
1250,Andheri,2,32000000
1250,Andheri,2,22000000
1850,Andheri,3,14500000
1850,Andheri,3,4500000
1350,Andheri,2,11500000
1350,Andheri,2,2000000
900,Andheri,2,15500000
2050,Andheri,4,37800000
1650,Andheri,3,7500000
1200,Andheri,2,5100000
2400,Andheri,4,4500000
1600,Andheri,3,11000000
1850,Andheri,3,23100000
1850,Andheri,3,37000000
1850,Andheri,3,5800000
600,Andheri,1,8800000
1650,Andheri,3,15100000
1250,Andheri,2,43000000
1950,Andheri,4,4800000
1500,Andheri,3,3675000
1003,Andheri,2,12800000
1166,Andheri,2,27300000
1509,Andheri,3,42000000
800,Andheri,2,12200000
800,Andheri,2,11500000
954,Andheri,2,8400000
1274,Andheri,3,8400000
985,Andheri,3,9200000
650,Andheri,1,8600000
1000,Andheri,2,10500000
650,Andheri,1,13000000
650,Andheri,1,8500000
1195,Andheri,2,7150000
1250,Andheri,3,12000000
912,Andheri,2,9300000
660,Andheri,2,22500000
1050,Andheri,2,17500000
2300,Andheri,3,6500000
2590,Andheri,5,65000000
1295,Andheri,3,2600000
1200,Andheri,3,12000000
1040,Andheri,2,12000000
3080,Andheri,3,27000000
3780,Andheri,4,35000000
4650,Andheri,5,70000000
1057,Andheri,2,11500000
950,Andheri,2,18500000
1100,Andheri,2,9400000
768,Andheri,2,10000000
768,Andheri,2,3600000
1200,Andheri,3,2650000
600,Badlapur,1,2010000
575,Badlapur,1,2005000
505,Badlapur,1,2170000
675,Badlapur,1,22000000
571,Badlapur,1,31500000
642,Badlapur,1,17000000
480,Badlapur,1,4650000
675,Badlapur,1,2865000
675,Badlapur,1,2865000
430,Badlapur,1,3979999
500,Badlapur,1,7500000
500,Badlapur,1,2560000
441,Badlapur,1,2400000
675,Badlapur,1,15300000
910,Badlapur,2,5500000
920,Badlapur,2,2600000
660,Badlapur,1,2650000
660,Badlapur,1,22500000
1050,Badlapur,2,2815000
