Area,Location,No. of Bedrooms,Price
900,Kalyan,2,7000000
657,Kalyan,1,14000000
600,Kalyan,1,4300000
640,Kalyan,1,16000000
657,Kalyan,1,14000000
1300,Kalyan,3,12000000
1340,Kalyan,3,9620000
759,Kalyan,1,4200000
685,Kalyan,1,5500000
1397,Kalyan,2,9900000
695,Kalyan,1,7500000
970,Kalyan,2,7300000
970,Kalyan,2,2599000
920,Kalyan,2,23000000
635,Kalyan,1,4600000
950,Kalyan,2,7548000
975,Kalyan,2,26900000
1100,Kalyan,3,6787000
625,Kalyan,1,6500000
955,Kalyan,2,8700000
620,Kalyan,1,2700000
1560,Kalyan,3,10000000
920,Kalyan,2,45199999
665,Kalyan,1,4000000
665,Kalyan,1,13500000
635,Kalyan,1,4600000
935,Kalyan,2,19500000
695,Kalyan,1,2320000
695,Kalyan,1,8000000
1140,Kalyan,2,2600000
700,Kalyan,1,8000000
1095,Kalyan,2,9900000
1495,Kalyan,3,4000000
945,Kalyan,2,8600000
865,Kalyan,2,2500000
421,Kalyan,1,2000000
585,Kalyan,1,3800000
595,Kalyan,1,4500000
890,Kalyan,2,3500000
550,Kalyan,1,5200000
880,Kalyan,2,5200000
695,Kalyan,1,2640000
665,Kalyan,1,6500000
1120,Kalyan,2,8300000
1120,Kalyan,2,8300000
1120,Kalyan,2,8300000
1120,Kalyan,2,8300000
1120,Kalyan,2,8300000
1120,Kalyan,2,8300000
1120,Kalyan,2,8300000
1120,Kalyan,2,34000000
390,Kalyan,1,21500000
390,Kalyan,1,4000000
665,Kalyan,1,4000000
665,Kalyan,1,7500000
390,Kalyan,1,23500000
1110,Kalyan,2,7600000
760,Kalyan,1,5100000
760,Kalyan,1,9000000
1200,Kalyan,2,4600000
695,Kalyan,1,13500000
800,Kalyan,2,3200000
580,Kalyan,1,3200000
577,Kalyan,1,3200000
577,Kalyan,1,3200000
600,Kalyan,1,3800000
650,Kalyan,1,3400000
650,Kalyan,1,5200000
1000,Kalyan,2,5675000
982,Kalyan,2,5650000
1000,Kalyan,2,3200000
577,Kalyan,1,27500000
585,Kalyan,1,3550000
585,Kalyan,1,16500000
1100,Kalyan,2,2000000
450,Kalyan,1,13000000
966,Kalyan,2,3600000
607,Kalyan,1,7700000
605,Kalyan,1,5250000
950,Kalyan,2,4700000
650,Kalyan,1,6050000
607,Kalyan,1,4800000
625,Kalyan,1,29900000
607,Kalyan,1,37000000
600,Kalyan,1,12200000
800,Kalyan,2,12000000
1045,Kalyan,2,3300000
1045,Kalyan,2,5350000
600,Kalyan,1,3500000
600,Kalyan,1,3250000
565,Kalyan,1,21000000
900,Kalyan,2,30500000
900,Kalyan,2,18000000
1050,Kalyan,2,4207000
585,Kalyan,1,24600000
1050,Kalyan,2,15000000
1050,Kalyan,2,9200000
800,Kalyan,2,9600000
933,Kalyan,2,25000000
960,Kalyan,2,15000000
585,Kalyan,1,7400000
1500,Kalyan,3,6300000
607,Kalyan,1,36800000
570,Kalyan,1,17500000
1115,Kalyan,2,3050000
880,Kalyan,2,8000000
800,Kalyan,2,8500000
635,Kalyan,1,11500000
700,Kalyan,1,37500000
947,Kalyan,2,2700000
1300,Kalyan,3,4000000
740,Kalyan,1,13200000
740,Kalyan,1,8000000
735,Kalyan,1,10000000
725,Kalyan,1,4700000
868,Kalyan,2,20000000
868,Kalyan,2,25500000
676,Kalyan,1,33500000
977,Kalyan,2,2400000
720,Kalyan,1,4300000
595,Kalyan,1,3200000
999,Kalyan,2,18000000
390,Kalyan,1,3400000
1545,Kalyan,3,8900000
350,Kalyan,1,3300000
700,Kalyan,1,5690000
650,Kalyan,1,8413000
555,Kalyan,1,3150000
950,Kalyan,2,3300000
950,Kalyan,2,6000000
600,Kalyan,1,4699000
1060,Kalyan,2,5299000
600,Kalyan,1,10100000
585,Kalyan,1,7998999
600,Kalyan,1,3300000
982,Kalyan,2,3999000
860,Kalyan,2,4499000
1431,Kalyan,3,4099000
1080,Kalyan,2,3699000
607,Kalyan,1,4200000
688,Kalyan,1,4500000
768,Kalyan,1,3800000
810,Kalyan,2,3250000
565,Kalyan,1,4100000
650,Kalyan,1,4100000
650,Kalyan,1,6300000
810,Kalyan,2,4999000
650,Kalyan,1,3250000
600,Kalyan,1,4500000
650,Kalyan,1,5500000
650,Kalyan,1,9200000
964,Kalyan,2,9700000
750,Kalyan,1,9700000
600,Kalyan,1,3500000
1000,Kalyan,2,13000000
966,Kalyan,2,4000000
635,Kalyan,1,7000000
620,Kamothe,1,4000000
980,Kamothe,2,6400000
950,Kamothe,2,6900000
619,Kamothe,1,5425000
710,Kamothe,1,5700000
887,Kamothe,2,7100000
1005,Kamothe,2,7800000
950,Kamothe,2,5900000
650,Kamothe,1,5000000
638,Kamothe,1,4050000
675,Kamothe,2,5050000
1006,Kamothe,2,6800000
420,Kamothe,1,3000000
850,Kamothe,1,5200000
1005,Kamothe,2,6700000
900,Kamothe,2,6900000
940,Kamothe,2,7950000
620,Kamothe,1,5460000
650,Kamothe,2,4950000
1000,Kamothe,2,7000000
1100,Kamothe,2,8575000
600,Kamothe,1,4800000
940,Kamothe,2,7900000
1175,Kamothe,2,8725000
1255,Kamothe,2,6500000
1236,Kamothe,2,9350000
1700,Kamothe,3,10000000
1003,Kamothe,2,7000000
1000,Kamothe,2,5800000
653,Kamothe,1,4800000
1575,Kamothe,3,11000000
1089,Kamothe,2,8500000
900,Kamothe,2,7900000
1065,Kamothe,2,6900000
610,Kamothe,1,5700000
670,Kamothe,1,4000000
900,Kamothe,2,4500000
610,Kamothe,2,6700000
980,Kamothe,2,4400000
1065,Kamothe,2,6900000
610,Kamothe,1,5700000
670,Kamothe,1,4000000
900,Kamothe,2,4500000
610,Kamothe,2,6700000
980,Kamothe,2,4400000
1098,Kamothe,2,9200000
1310,Kamothe,2,8000000
1109,Kamothe,2,4200000
650,Kamothe,1,180000000
1396,Kamothe,3,85000000
1098,Kamothe,2,9200000
1310,Kamothe,2,8000000
1109,Kamothe,2,4200000
650,Kamothe,1,9000000
1128,Kamothe,2,8500000
1258,Kamothe,2,9400000
1101,Kamothe,2,11200000
665,Kamothe,1,9000000
1396,Kamothe,3,85000000
1125,Kamothe,2,11200000
555,Kamothe,1,2800000
1000,Kamothe,2,4900000
1000,Kamothe,2,4900000
1012,Kamothe,2,10000000
1129,Kamothe,2,4925000
600,Kamothe,1,7000000
1012,Kamothe,2,12200000
1565,Kamothe,3,5200000
630,Kamothe,1,10400000
1129,Kamothe,2,10400000
1129,Kamothe,2,5100000
605,Kamothe,1,5000000
600,Kamothe,1,5100000
605,Kamothe,1,7900000
1000,Kamothe,2,9500000
1310,Kamothe,2,9500000
1225,Kamothe,2,9300000
1310,Kamothe,2,12500000
1540,Kamothe,3,12400000
1565,Kamothe,3,9800000
1225,Kamothe,2,4800000
600,Kamothe,1,4950000
635,Kamothe,1,5300000
650,Kamothe,1,23000000
1095,Kamothe,2,25000000
1110,Kamothe,2,27500000
610,Kamothe,1,25000000
1050,Kamothe,2,6500000
1168,Kamothe,2,20000000
1050,Kamothe,2,6500000
1168,Kamothe,2,8000000
550,Kamothe,1,4500000
365,Kamothe,1,25600000
2000,Kamothe,3,21500000
655,Kamothe,1,19000000
1045,Kamothe,2,3325000
660,Kamothe,1,31700000
1252,Kamothe,2,7600000
640,Kamothe,1,3800000
660,Kamothe,1,18000000
650,Kamothe,1,17000000
640,Kamothe,1,25000000
1103,Kamothe,2,13000000
1103,Kamothe,2,16200000
1010,Kamothe,2,13200000
1177,Kamothe,2,9400000
1150,Kamothe,2,8400000
1109,Kamothe,2,7300000
2250,Kamothe,2,8000000
2250,Kamothe,3,7700000
2200,Kamothe,3,7500000
1800,Kamothe,3,8000000
1500,Kamothe,3,7500000
1400,Kamothe,3,15000000
930,Kamothe,2,8400000
1100,Kamothe,2,8700000
950,Kamothe,2,8400000
1150,Kamothe,2,8500000
1110,Kamothe,2,5500000
1050,Kamothe,2,39000000
660,Kamothe,1,6200000
1245,Kamothe,2,6800000
1192,Kamothe,2,5500000
530,Kamothe,1,4400000
625,Kamothe,1,6250000
1420,Kamothe,3,10500000
625,Kamothe,1,6800000
625,Kamothe,1,6800000
1160,Kamothe,2,8700000
578,Kamothe,1,5000000
1256,Kamothe,2,8300000
475,Kamothe,1,3500000
1260,Kamothe,2,10800000
1150,Kamothe,2,8500000
1165,Kamothe,2,8500000
1470,Kamothe,3,11000000
1180,Kamothe,2,9200000
1150,Kamothe,2,8500000
1165,Kamothe,2,8500000
1470,Kamothe,3,11000000
1180,Kamothe,2,9200000
995,Kamothe,2,7000000
1700,Kamothe,3,16000000
620,Kamothe,1,16000000
690,Kamothe,1,25000000
380,Kamothe,1,2600000
1150,Kamothe,2,12600000
1150,Kamothe,2,12600000
1150,Kamothe,2,12600000
620,Kamothe,1,13899999
1050,Kamothe,2,9600000
1050,Kamothe,2,53000000
560,Kamothe,1,3800000
580,Kamothe,1,3600000
1240,Kamothe,3,15500000
1080,Kamothe,2,7700000
610,Kamothe,1,6000000
1735,Kamothe,3,15000000
980,Kamothe,2,8800000
1654,Kamothe,3,16500000
1080,Kamothe,2,7700000
610,Kamothe,1,6000000
1735,Kamothe,3,15000000
980,Kamothe,2,8800000
1654,Kamothe,3,16500000
1165,Kamothe,2,11299999
1165,Kamothe,2,11299999
1054,kandivali,2,11000000
820,kandivali,2,7500000
685,kandivali,1,20500000
1240,kandivali,3,7200000
693,kandivali,1,7000000
627,kandivali,1,14500000
1020,kandivali,2,19000000
1290,kandivali,2,22500000
1495,kandivali,3,36500000
1810,kandivali,3,27799999
300,kandivali,1,2500000
1600,kandivali,3,25000000
1170,kandivali,3,28200000
1014,kandivali,3,26400000
764,kandivali,2,16800000
820,kandivali,2,18600000
560,kandivali,2,12000000
2415,kandivali,4,29500000
1890,kandivali,4,28000000
1475,kandivali,3,31000000
1350,kandivali,3,24500000
1786,kandivali,3,31500000
1920,kandivali,4,47000000
1350,kandivali,2,21000000
400,kandivali,1,6100000
400,kandivali,1,7000000
2450,kandivali,4,35000000
1165,kandivali,3,18000000
525,kandivali,1,8200000
745,kandivali,2,12500000
1667,kandivali,3,33000000
400,kandivali,1,6400000
2415,kandivali,4,31500000
2415,kandivali,4,30500000
2415,kandivali,4,31500000
1530,kandivali,3,22000000
764,kandivali,2,12000000
900,kandivali,3,39000000
900,kandivali,3,7300000
1137,kandivali,2,19600000
340,kandivali,1,5700000
340,kandivali,1,5700000
510,kandivali,1,8100000
510,kandivali,1,8100000
999,kandivali,2,32500000
860,kandivali,2,3500000
525,kandivali,1,7400000
525,kandivali,1,11100000
1000,kandivali,2,7600000
5320,kandivali,5,65000000
2590,kandivali,6,16500000
1065,kandivali,3,7400000
1065,kandivali,3,18900000
1350,kandivali,3,6000000
2400,kandivali,3,14500000
900,kandivali,2,20000000
2700,kandivali,5,9800000
1000,kandivali,2,15500000
1000,kandivali,2,12000000
525,kandivali,1,16000000
1000,kandivali,2,9500000
1090,kandivali,2,4700000
525,kandivali,1,20000000
1000,kandivali,2,13500000
860,kandivali,2,15500000
1000,kandivali,2,8320000
1750,kandivali,3,16500000
1090,kandivali,2,14500000
995,kandivali,2,22500000
1655,kandivali,3,5600000
1655,kandivali,3,27000000
1100,kandivali,3,180000000
1000,kandivali,2,8000000
525,kandivali,1,33000000
515,kandivali,1,38000000
1325,kandivali,3,31500000
525,kandivali,1,9600000
700,kandivali,1,8500000
1250,kandivali,3,22500000
1780,kandivali,3,12500000
745,kandivali,2,6500000
465,kandivali,1,11500000
780,kandivali,2,6400000
365,kandivali,1,23500000
1325,kandivali,3,26500000
1065,kandivali,2,16500000
1090,kandivali,2,17500000
1120,kandivali,2,13000000
1000,kandivali,2,9800000
515,kandivali,1,11500000
614,kandivali,2,52100000
550,kandivali,1,13000000
1473,kandivali,3,9500000
479,kandivali,1,17300000
845,kandivali,2,21600000
1202,kandivali,3,32700000
1763,kandivali,4,4600000
2465,kandivali,3,17000000
2095,kandivali,5,14500000
1000,kandivali,2,10000000
850,kandivali,2,36600000
1750,kandivali,3,27000000
1750,kandivali,3,27900000
1750,kandivali,3,3500000
1090,kandivali,2,12500000
800,kandivali,2,21500000
1200,kandivali,3,15200000
1075,kandivali,2,6990000
1150,kandivali,2,16200000
1150,kandivali,2,9100000
1150,kandivali,2,10000000
1850,kandivali,4,4000000
645,kandivali,1,22500000
560,kandivali,1,17900000
570,kandivali,1,8000000
495,kandivali,1,5300000
650,kandivali,1,8900000
1350,kandivali,3,35000000
2095,kandivali,4,41900000
1627,kandivali,3,46300000
1797,kandivali,3,8990000
729,kandivali,2,7890000
534,kandivali,1,7909999
553,kandivali,1,7900000
564,kandivali,1,11299999
744,kandivali,1,5500000
393,kandivali,1,4500000
728,kandivali,2,7500000
553,kandivali,1,6800000
565,kandivali,1,36000000
450,kandivali,1,3300000
450,kandivali,1,4554000
300,kandivali,1,2300000
300,kandivali,1,11500000
1200,kandivali,3,8495000
310,kandivali,1,12100000
1350,kandivali,3,22799999
1786,kandivali,3,18500000
1400,kandivali,3,22500000
1050,kandivali,2,32900000
1050,kandivali,2,26000000
1750,kandivali,3,22500000
1750,kandivali,3,8000000
1750,kandivali,3,7600000
1750,kandivali,3,2400000
1655,kandivali,3,8900000
1655,kandivali,3,14500000
1655,kandivali,3,22500000
1000,kandivali,2,7400000
900,kandivali,2,13000000
680,kandivali,2,9600000
680,kandivali,2,13600000
1090,kandivali,2,24000000
460,kandivali,1,28500000
460,kandivali,1,31500000
1655,kandivali,3,14500000
995,kandivali,2,15600000
1000,kandivali,2,14000000
2465,kandivali,4,9300000
2365,kandivali,4,13700000
1000,kandivali,2,9000000
1655,kandivali,3,21500000
1600,kandivali,3,32500000
1120,kandivali,3,2400000
1120,kandivali,3,17500000
365,kandivali,1,5000000
1052,kandivali,2,23000000
575,kandivali,1,19800000
1750,kandivali,3,25000000
535,kandivali,1,6190000
1655,kandivali,3,25000000
2465,kandivali,4,17000000
765,kandivali,2,3488000
1120,kandivali,2,20000000
1750,kandivali,3,12000000
660,kandivali,2,30000000
1475,kandivali,3,8300000
800,kandivali,2,12500000
1500,kandivali,3,18000000
1100,kandivali,2,13200000
1962,kandivali,3,35300000
1440,kandivali,3,25000000
1200,kandivali,2,13899999
765,kandivali,1,9000000
1056,kandivali,2,13700000
1050,kandivali,2,15200000
600,kandivali,1,8800000
1500,kandivali,3,17500000
1500,kandivali,3,26500000
1300,kandivali,3,32000000
1472,kandivali,3,33000000
340,kandivali,1,3800000
1129,kandivali,2,21000000
839,kandivali,2,16500000
908,kandivali,2,8600000
650,kandivali,1,9300000
913,kandivali,2,52500000
562,kandivali,1,9800000
791,kandivali,2,42500000
1505,kandivali,3,39000000
1561,kandivali,3,21000000
784,kandivali,3,19900000
1550,kandivali,3,4100000
2000,kandivali,4,14900000
925,kandivali,2,16000000
665,kandivali,1,25800000
640,kandivali,1,29900000
864,kandivali,2,17000000
864,kandivali,2,17000000
750,kandivali,1,2000000
840,kandivali,2,16500000
840,kandivali,2,60000000
800,kandivali,2,8500000
680,kandivali,2,5200000
450,kandivali,1,8900000
1242,kandivali,3,16900000
888,kandivali,2,16900000
888,kandivali,2,29200000
650,kandivali,1,35000000
830,kandivali,2,25500000
1614,kandivali,3,8500000
1555,kandivali,3,22500000
580,kandivali,1,2000000
580,kandivali,1,2000000
950,kandivali,2,26000000
605,kandivali,1,2500000
768,kandivali,2,5200000
340,kandivali,1,4100000
340,kandivali,1,4100000
355,kandivali,1,3800000
350,kandivali,1,4100000
350,kandivali,1,3900000
380,kandivali,1,3900000
350,kandivali,1,5200000
410,kandivali,1,3900000
340,kandivali,1,4200000
350,kandivali,1,4000000
350,kandivali,1,4100000
340,kandivali,1,4200000
340,kandivali,1,4000000
350,kandivali,1,4100000
350,kandivali,1,3700000
335,kandivali,1,3800000
335,kandivali,1,3800000
340,kandivali,1,52600000
980,kandivali,2,14500000
1050,kandivali,2,8750000
950,kandivali,2,6800000
1500,kandivali,3,5500000
1450,kandivali,3,21100000
1450,kandivali,3,21100000
720,kandivali,2,28700000
405,kandivali,1,22200000
565,kandivali,1,22200000
1737,kandivali,4,21500000
1000,kandivali,2,13200000
1150,kandivali,3,21000000
520,kandivali,1,7500000
950,kandivali,2,51500000
950,kandivali,2,10800000
980,kandivali,2,15500000
1015,kandivali,2,7000000
520,kandivali,1,23200000
900,kandivali,2,25500000
1400,kandivali,3,14500000
1065,kandivali,2,12000000
975,kandivali,2,9000000
975,kandivali,2,29000000
560,kandivali,1,18000000
560,kandivali,1,23400000
650,kandivali,1,23400000
650,kandivali,1,8100000
990,kandivali,2,18800000
990,kandivali,2,18900000
990,kandivali,2,18800000
1450,kandivali,2,10000000
1450,kandivali,2,8800000
1500,kandivali,3,4400000
990,kandivali,2,18800000
990,kandivali,2,18900000
990,kandivali,2,9500000
1450,kandivali,2,8355000
1450,kandivali,2,13500000
829,kandivali,2,15100000
720,kandivali,1,42600000
893,kandivali,2,2500000
610,kandivali,1,3700000
907,kandivali,3,2599000
685,kandivali,2,15100000
850,kandivali,2,12500000
780,kandivali,2,16500000
680,kandivali,2,7000000
1075,kandivali,2,9500000
1035,kandivali,3,7500000
828,kandivali,2,2836000
721,kandivali,2,13500000
721,kandivali,2,13799999
800,kandivali,2,12000000
575,kandivali,1,17500000
1100,kandivali,2,18000000
525,kandivali,1,17000000
750,kandivali,1,16000000
610,kandivali,1,9500000
350,kandivali,1,38500000
575,Kanjurmarg,1,8500000
575,Kanjurmarg,1,8500000
1300,Kanjurmarg,3,23000000
1300,Kanjurmarg,3,23000000
484,Kanjurmarg,1,8500000
620,Kanjurmarg,1,10600000
650,Kanjurmarg,1,10800000
650,Kanjurmarg,1,6000000
1055,Kanjurmarg,2,19900000
1421,Kanjurmarg,3,15900000
538,Kanjurmarg,2,28100000
1115,Kanjurmarg,3,26500000
1052,Kanjurmarg,3,17500000
694,Kanjurmarg,2,23400000
929,Kanjurmarg,3,16500000
656,Kanjurmarg,2,19000000
753,Kanjurmarg,2,16500000
653,Kanjurmarg,2,19000000
752,Kanjurmarg,2,16399999
652,Kanjurmarg,2,17100000
678,Kanjurmarg,2,23800000
944,Kanjurmarg,3,23800000
943,Kanjurmarg,3,13899999
677,Kanjurmarg,2,14100000
749,Kanjurmarg,2,16399999
649,Kanjurmarg,2,6800000
1050,Kanjurmarg,2,7800000
1150,Kanjurmarg,2,2400000
1150,Kanjurmarg,2,4400000
1054,Kanjurmarg,2,16800000
500,Kanjurmarg,1,57500000
450,Kanjurmarg,1,2100000
500,Kanjurmarg,1,11000000
723,Kanjurmarg,2,3000000
650,Karanjade,1,4700000
690,Karanjade,1,4100000
670,Karanjade,1,4000000
654,Karanjade,1,4300000
630,Karanjade,1,3950000
635,Karanjade,1,3850000
625,Karanjade,1,3300000
530,Karanjade,1,2850000
395,Karanjade,1,2100000
1090,Karanjade,2,6300000
1010,Karanjade,2,6400000
1010,Karanjade,2,6000000
1015,Karanjade,2,5900000
585,Karanjade,1,15200000
640,Karanjade,1,4700000
1100,Karanjade,2,5499000
685,Karanjade,1,3800000
685,Karanjade,1,11200000
984,Karanjade,2,12400000
690,Karanjade,1,4100000
640,Karanjade,1,30000000
640,Karanjade,1,21000000
640,Karanjade,1,6800000
640,Karanjade,1,11000000
975,Karanjade,2,8200000
975,Karanjade,2,8800000
650,Karanjade,1,25500000
650,Karanjade,1,26700000
680,Karanjade,1,27000000
1035,Karanjade,2,12500000
620,Karanjade,1,5300000
645,Karanjade,1,26800000
680,Karanjade,1,14600000
700,Karjat,1,2064000
600,Karjat,1,2100000
700,Karjat,1,2888000
962,Karjat,2,2100000
700,Karjat,1,2064000
688,Karjat,1,2100000
700,Karjat,1,2064000
688,Karjat,1,2064000
688,Karjat,1,2898000
966,Karjat,2,2886000
962,Karjat,2,2100000
700,Karjat,1,2064000
688,Karjat,1,2100000
700,Karjat,1,2064000
688,Karjat,1,2898000
966,Karjat,2,2886000
962,Karjat,2,2064000
688,Karjat,1,2100000
700,Karjat,1,2064000
688,Karjat,1,3400000
700,Khar,2,35000000
969,Khar,2,35000000
950,Khar,2,34800000
525,Khar,1,15500000
1220,Khar,3,6600000
707,Khar,2,60500000
1195,Khar,3,34700000
900,Khar,2,2110000
2600,Khar,4,70000000
1800,Khar,4,6800000
1800,Khar,4,6800000
1450,Khar,3,55000000
1225,Khar,3,65000000
1175,Khar,3,8300000
3800,Khar,4,65000000
1500,Khar,3,6500000
2800,Khar,4,3600000
1196,Khar,3,32500000
775,Khar,2,15500000
1600,Khar,3,15000000
1120,Khar,2,15500000
942,Khar,2,2700000
720,Kharghar,1,4850000
600,Kharghar,1,4500000
650,Kharghar,1,6700000
650,Kharghar,1,4500000
665,Kharghar,1,5000000
2000,Kharghar,4,17000000
1550,Kharghar,3,12500000
1356,Kharghar,3,10500000
1680,Kharghar,3,15000000
980,Kharghar,2,8700000
1000,Kharghar,2,9000000
1060,Kharghar,2,11000000
1095,Kharghar,2,10500000
1155,Kharghar,2,9700000
1150,Kharghar,2,10500000
990,Kharghar,2,8500000
1078,Kharghar,2,9300000
1150,Kharghar,2,9900000
1150,Kharghar,2,8000000
1060,Kharghar,2,9000000
680,Kharghar,1,4200000
2470,Kharghar,4,28000000
2100,Kharghar,4,40000000
2200,Kharghar,4,16000000
2235,Kharghar,4,17000000
1025,Kharghar,2,9500000
950,Kharghar,2,9500000
895,Kharghar,2,7500000
1114,Kharghar,2,8500000
1197,Kharghar,2,13000000
1380,Kharghar,2,13700000
1050,Kharghar,2,8000000
1240,Kharghar,2,10500000
1110,Kharghar,2,7700000
1050,Kharghar,2,7500000
1160,Kharghar,2,9000000
1078,Kharghar,2,9300000
555,Kharghar,1,6000000
650,Kharghar,1,6200000
600,Kharghar,1,5000000
650,Kharghar,1,6500000
700,Kharghar,1,5200000
646,Kharghar,1,4200000
560,Kharghar,1,5500000
670,Kharghar,1,5500000
740,Kharghar,1,6000000
636,Kharghar,1,5500000
680,Kharghar,1,4200000
1635,Kharghar,3,16500000
1550,Kharghar,3,11399999
1500,Kharghar,3,13500000
1850,Kharghar,3,22500000
2100,Kharghar,4,40000000
610,Kharghar,1,5700000
655,Kharghar,1,4800000
660,Kharghar,1,4500000
650,Kharghar,1,4300000
680,Kharghar,1,4500000
670,Kharghar,1,5300000
655,Kharghar,1,4803000
1800,Kharghar,3,13000000
1645,Kharghar,3,15500000
1395,Kharghar,3,13000000
1150,Kharghar,2,8500000
1200,Kharghar,2,9400000
1150,Kharghar,2,8000000
615,Kharghar,1,4500000
670,Kharghar,1,5300000
765,Kharghar,1,6000000
650,Kharghar,1,5600000
655,Kharghar,1,4803000
1760,Kharghar,3,17500000
1415,Kharghar,3,12000000
1685,Kharghar,3,15000000
1800,Kharghar,3,13000000
1650,Kharghar,3,16600000
1395,Kharghar,3,13000000
1200,Kharghar,2,9400000
1650,Kharghar,3,16600000
1395,Kharghar,3,13000000
1200,Kharghar,2,9400000
1150,Kharghar,2,8000000
650,Kharghar,1,5700000
560,Kharghar,1,5500000
765,Kharghar,1,6000000
650,Kharghar,1,5600000
655,Kharghar,1,4900000
1390,Kharghar,3,13500000
1590,Kharghar,3,22000000
1760,Kharghar,3,17500000
1716,Kharghar,3,17800000
1680,Kharghar,3,14000000
1050,Kharghar,2,7200000
1100,Kharghar,2,7000000
1635,Kharghar,3,15000000
1078,Kharghar,2,10000000
1760,Kharghar,3,17500000
1415,Kharghar,3,11000000
1800,Kharghar,3,13000000
1147,Kharghar,2,12500000
1197,Kharghar,2,13000000
1300,Kharghar,3,15000000
1050,Kharghar,2,7500000
1240,Kharghar,2,9500000
1160,Kharghar,2,9000000
650,Kharghar,1,6200000
650,Kharghar,1,5500000
550,Kharghar,1,5000000
550,Kharghar,1,5500000
650,Kharghar,1,4200000
700,Kharghar,1,5200000
646,Kharghar,1,4200000
650,Kharghar,1,6500000
740,Kharghar,1,6000000
570,Kharghar,1,5000000
670,Kharghar,1,5500000
680,Kharghar,1,4200000
636,Kharghar,1,5500000
640,Kharghar,1,4300000
1700,Kharghar,3,15500000
1635,Kharghar,3,16500000
1550,Kharghar,3,11399999
1530,Kharghar,3,12000000
1500,Kharghar,3,13500000
1750,Kharghar,3,16000000
1590,Kharghar,3,22000000
1415,Kharghar,3,11000000
1650,Kharghar,3,16600000
1687,Kharghar,3,14000000
1150,Kharghar,2,8500000
1050,Kharghar,2,7500000
555,Kharghar,1,6000000
600,Kharghar,1,4900000
646,Kharghar,1,4200000
650,Kharghar,1,6500000
650,Kharghar,1,4500000
740,Kharghar,1,6000000
670,Kharghar,1,5500000
640,Kharghar,1,4300000
650,Kharghar,1,5500000
1400,Kharghar,3,13500000
1750,Kharghar,3,16000000
1780,Kharghar,3,15000000
1415,Kharghar,3,11000000
1687,Kharghar,3,14000000
1100,Kharghar,2,6900000
1050,Kharghar,2,8300000
1160,Kharghar,2,9000000
700,Kharghar,1,5100000
625,Kharghar,1,5200000
646,Kharghar,1,4200000
670,Kharghar,1,5500000
550,Kharghar,1,5500000
650,Kharghar,1,6500000
650,Kharghar,1,5400000
660,Kharghar,1,5300000
550,Kharghar,1,5500000
570,Kharghar,1,5000000
1415,Kharghar,3,11000000
1550,Kharghar,3,14000000
1760,Kharghar,3,17100000
1750,Kharghar,3,16000000
1475,Kharghar,3,11800000
759,Kharghar,1,6000000
600,Kharghar,1,4850000
640,Kharghar,1,4300000
550,Kharghar,1,4500000
620,Kharghar,1,4100000
550,Kharghar,1,5000000
745,Kharghar,1,5500000
580,Kharghar,1,4500000
570,Kharghar,1,5000000
670,Kharghar,1,5300000
1845,Kharghar,3,19000000
1700,Kharghar,3,15500000
1400,Kharghar,3,13500000
1680,Kharghar,3,13600000
1645,Kharghar,3,15500000
1585,Kharghar,3,16500000
1350,Kharghar,2,8600000
1075,Kharghar,2,10000000
1155,Kharghar,2,10500000
625,Kharghar,1,4700000
720,Kharghar,1,6200000
550,Kharghar,1,4500000
735,Kharghar,1,6900000
580,Kharghar,1,4500000
1505,Kharghar,3,10000000
1630,Kharghar,3,13000000
1550,Kharghar,3,11000000
1750,Kharghar,3,16000000
1098,Kharghar,2,10500000
1000,Kharghar,2,9500000
550,Kharghar,1,4500000
1550,Kharghar,3,11000000
1550,Kharghar,3,11000000
1630,Kharghar,3,13000000
1680,Kharghar,3,13600000
1650,Kharghar,3,16200000
1440,Kharghar,3,15000000
1370,Kharghar,3,13200000
1000,Kharghar,2,9500000
1760,Kharghar,3,15000000
1100,Kharghar,2,7500000
1675,Kharghar,3,16200000
1060,Kharghar,2,11000000
1150,Kharghar,2,11600000
670,Kharghar,1,5600000
900,Kharghar,2,8000000
1088,Kharghar,2,9500000
310,Kharghar,1,2300000
1060,Kharghar,2,9000000
1650,Kharghar,3,22000000
1360,Kharghar,2,14500000
1250,Kharghar,2,11500000
1550,Kharghar,3,14900000
510,Kharghar,1,3850000
305,Kharghar,1,2850000
1251,Kharghar,2,12100000
989,Kharghar,2,6800000
850,Kharghar,2,6000000
989,Kharghar,2,6850000
900,Kharghar,2,5500000
1750,Kharghar,3,17500000
1240,Kharghar,2,9400000
1560,Kharghar,3,16500000
640,Kharghar,1,3700000
1050,Kharghar,2,8000000
1770,Kharghar,3,22000000
1230,Kharghar,2,10200000
450,Kharghar,1,3100000
655,Kharghar,1,5500000
852,Kharghar,2,9500000
1600,Kharghar,3,17500000
1140,Kharghar,2,10000000
1502,Kharghar,3,16500000
1600,Kharghar,3,17500000
650,Kharghar,1,4800000
1600,Kharghar,3,14000000
1140,Kharghar,2,10000000
1325,Kharghar,2,10000000
1725,Kharghar,3,12500000
1256,Kharghar,2,13500000
1600,Kharghar,3,16500000
1600,Kharghar,3,16500000
2030,Kharghar,3,21000000
1725,Kharghar,3,12500000
1680,Kharghar,3,16000000
